MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04エル\nHablemos, Veronica. Como aliada tuya,\nconsidero que he de conocerte mejor.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nEres un lugarteniente excelente. Un dechado\nde responsabilidad. Querría que fueras mío...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nCon no ser un estorbo me conformo. No quiero\narrastrar por el suelo el legado de Mauvier...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nPero lo cierto es que mis amigos siempre andan\nrescatándome. Incluida tú, claro. Gracias...\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nSolo por llamarme amiga mereces que te preste\ntoda mi fuerza... Nunca abandono a mis aliados.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nPareces triste... ¿Qué te ocurre,\nsi me permites preguntarlo?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYo me noto igual que siempre... Háblame mejor\nde ti. Me gusta conversar.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nマデリーン\n¿Hay algo que te guste especialmente? Por\nejemplo, accesorios para chicas de tu edad...\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\n¿Accesorios para chicas de mi edad?\nNo sé si te entiendo...\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nMadeline... ¿qué ha sido de tu familia?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nMis padres fallecieron. Ya solo me unen lazos\na mis aliados y a los Cuatro Vientos.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nLazos... Últimamente lo oigo mucho. Dime,\n¿a nosotras no nos une ningún lazo?\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\n¡Claro que sí! Para mí, tú también eres familia.\nSi nos separasen, se me rompería el corazón...\x0E\x04\x00\x00
