MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ロサード\n¡Hola, Mauvier!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nEstoy centrado en mi misión, sí. No hacerlo\nconlleva la derrota en la batalla y en la vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nTe has percatado antes que yo. De haberlo\nhecho antes, te habría ahorrado las molestias.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nTe pido disculpas por ello.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\n¡No te disculpes! Me gustaría\nque hiciéramos una promesa.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\n¿Qué clase de promesa?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nCuando acabe la guerra, cuando haya paz,\nintentaremos expandir tus horizontes.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nCuando haya paz...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nQué ideas tan raras tienes.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nCreo que más te valdría ocupar\ntu tiempo con otras personas.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nNo estoy haciendo esta promesa\ncon otras personas, sino contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nTe lo agradezco...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\n¿Lo prometemos, entonces? Quiero explorar\nla belleza de un mundo en paz, juntos.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nSi crees que eso te hará feliz, acepto.\nViajaremos adonde te plazca.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nJuntos veremos cosas "monas"\ny comeremos estofados picantes.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nAh, sí, los estofados picantes...\nSi eso te anima, ¡por mí de acuerdo!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nEsperaré con impaciencia.\x0E\x04\x00\x00
