MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nHay algo extraño en este lugar...\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x08\x06リーフ\nEl día de aquella batalla, me dijeron algo\nque he tenido presente desde entonces...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06リーフ\n"La sangre derramada no se puede devolver.\nHaz que el sacrificio valga la pena."\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06リーフ\n\x0E\x06\x03\x00, la vida es una serie\nde decisiones.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x08\x06リーフ\nNo hay forma de saber si las decisiones\nque has tomado son correctas o no.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06リーフ\nAprende de la sangre derramada. Remedia\ntus errores, progresa y crea un futuro mejor.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06リーフ\nEsa es la responsabilidad de un líder.\nEs lo que yo aprendí en un lugar como este.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nGracias, Leif, por compartir tu historia.\nSiento que ya te entiendo un poco más.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nMe esforzaré para crear un futuro mejor.\n¿Estarás a mi lado hasta que acabe la guerra?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x08\x06リーフ\nAquí, en la ribera de este bello río,\njuro que estaré a tu servicio, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
