MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAgh...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nSí que suena interesante.\n¿De qué tipo de magia hablamos?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nNo te lo vas a creer, pero se trata de un hechizo\ncapaz de devolver la juventud.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nUna cosa así no puede existir... ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nPor ahora solo es una teoría. No prometo nada,\nincluso si logro descifrar todas las incógnitas.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nAunque, si sale bien, quizá volvamos a luchar\nal nivel de nuestros jóvenes compañeros.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nTodavía me defiendo, pero quítame unos años\ny volveré a ser el terror del campo de batalla.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nPor no hablar de las aplicaciones que tendría\nuna magia así más allá de lo puramente bélico.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nSi consigo algún avance, serás el primero\nen probar el hechizo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nLo que dices sería un sueño hecho realidad.\nPero creo que prefiero envejecer.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\n¿Y eso? ¿No deseas recuperar la juventud?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nYa te he dicho que mi filosofía es aprovechar\nal máximo lo que el cuerpo me permite.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nヴァンドレ\nMe basta con enseñar cuanto sé a los jóvenes.\nEl mundo necesita mentores; no solo guerreros.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nBueno, de acuerdo. Te felicito por mantenerte\nfiel a tus principios.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nPero, si mis experimentos tienen éxito,\nseguro que cambias de opinión.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nSupongo que ya lo veremos, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n¿Algún avance en tus experimentos\ncon la magia rejuvenecedora, Lindon?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nHa sido un fracaso absoluto.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nLo achaco a un error del tomo\nque suscitó mi interés.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nUn hechizo que devolviera la juventud sonaba\ndemasiado bonito para ser cierto... y lo era.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nVaya, qué mala pata.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nEn el fondo me siento aliviado.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\n¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\n"He adquirido experiencia".\n"El mundo necesita mentores"...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nMientras investigaba, tus palabras\nno dejaban de resonar en mi mente.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nDe joven, aprendí muchísimo gracias\na las enseñanzas de los mayores.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nLa idea de un mundo sin mentores\ncomenzó a asustarme un poco.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nAdemás, hacerme viejo y perder mis aptitudes\ncomo caballero también me ha enseñado algo...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nQue quizá solo a ciertas edades\npuede uno desempeñar esos roles.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nAh, por fin has visto la luz.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nEs una lástima que nadie le cantara las verdades\na quien cometió el error en aquel grimorio, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nLa verdad es que contenía errores espantosos,\npero al final ha servido para algo bueno.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nAh, ¿sí? Cuenta.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nFíjate bien en mí; ¿no notas nada?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nMmm. La verdad es que se te ve con energías\nrenovadas, comparado con la última vez.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リンデン\n¡Qué perspicaz!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nDurante mis experimentos descubrí un ritual\nque ha mitigado mis problemas de lumbalgia.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\n¡Y gracias a eso me siento pletórico!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\n¿¡De verdad!?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\n¿Percibo cierto interés? ¿Acaso cierta persona\ntambién tiene dolores de espalda?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nNo quería reconocerlo, pero sí...\nHas dado en el clavo.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08リンデン\n¡No se hable más! Quédate quieto, Vander,\nmientras preparo de nuevo el ritual.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リンデン\nAl fin y al cabo, resulta más fácil transmitir\ntus enseñanzas si la salud te acompaña...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nヴァンドレ\nNadie como un mago elusiano para convertir\nen un éxito hasta el mayor de los fracasos...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08リンデン\nMe voy a ruborizar. Y ahora, ¡enseñémosles\na los novatos lo que podemos lograr los viejos!\x0E\x04\x00\x00
