MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Cómo te encuentras, Nel?\n¿Te cuesta habituarte a tu nueva vida?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	Y no se debe a que soy el Emblema de Fuego,\nsino gracias al apoyo de mis amigos... y al tuyo.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x06\x04エル\nSi no supiera la verdad, atribuiría tu prodigiosa\nfuerza a la sangre de Dragón Divino.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Imagina mi sorpresa cuando descubrí\nque en realidad eres vástago del Dragón Caído.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Y, aunque no seamos familia, compartimos\nla misma herencia, algo de lo que me alegro.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nMe honra oírte decir algo así.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04エル\nPretendo seguir a tu lado todo el tiempo\nposible, incluso una vez resuelto el conflicto.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	Deseo ser tu compañera y ser testigo\ndel mundo de paz que vas a forjar.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nSi hay alguien con quien querría compartirlo,\nesa eres tú, Nel. No imagino mi vida sin ti.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Por eso quiero ofrecerte esto.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x06\x04エル\nDivinidad, esto es...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nEl Anillo del Pacto, el símbolo\nde un futuro en común. ¿Lo aceptarías?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x06\x04エル\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nNo sentiría lo que siento de haberme dicho\nque me veías como a la persona que conociste.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Pero dejaste claro que únicamente me veías\na mí, tal y como soy aquí y ahora.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Jamás podría remplazar al Dragón Divino\nde tu mundo.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Pero sí puedo profesarte mis sentimientos,\ncon la esperanza de que sean correspondidos.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x06\x04エル\nLo son, Divinidad.\nTus palabras me conmueven sinceramente.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Perdóname, sé que no es el momento de llorar.\nPero, como ves, también sonrío.\x0E\x04\x02\x00
MID_RELIANCE_S_#033	Y acepto gustosa el anillo.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nNo imaginas lo feliz que me haces.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x06\x04エル\nAhora que hemos sellado el pacto,\nacepta mis sentimientos sin reservas.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x06\x04エル\nMi afecto por ti crece cada día que transcurre.\nTe quiero, \x0E\x06\x03\x00.\x0E\x04\x00\x00
