MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, quisiera darles las gracias a ti\ny a los Centinelas por su desempeño hoy.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\n¡¿Eh?! ¡¿Cuánto tiempo lleva ahí?!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nEl suficiente. Apuesto a que los Centinelas\nestarían orgullosos de ver cuánto te esfuerzas.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nNo, para nada. Y usted va a cerrar el pico.\nNo le cuente a nadie nada de esto.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\n¿Por qué? Entrenar no es motivo\npara avergonzarse.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nNo es eso. Tengo una reputación, ¿sí?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nTodo el mundo me tiene por alguien relajado...\nDebo seguir así para mantener la moral alta.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nCreo que no te entiendo...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nSi los Centinelas supieran cuánto entreno,\nse sentirían presionados para hacer lo mismo.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nLa preocupación, el miedo, el cansancio...\n¡Todo eso es contagioso!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nPor eso siempre me muestro de buen humor,\npara que la gente de mi entorno no se amargue.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nOh. Parece que me había equivocado\ndel todo contigo. Lo siento.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nComo has dicho, voy a cerrar el pico.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nGracias, Divinidad.\nEstoy en deuda con usted.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nEres una caja de sorpresas, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nBueno, ya veo que sigues entrenando\ncon ahínco.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\n¡¿Qué hace ahí?!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nCreo que dijimos que olvidaría lo que vio.\n¿Qué hace aquí otra vez?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nPerdóname.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nEs que entrenas tanto... y encima en secreto...\nPensé que querrías algo de compañía.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\n¿Su Divinidad se preocupa por mí?\n¡Hoy es mi día de suerte!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nFogado, quiero tener un gesto contigo...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\n¿Eh? Le agradezco el detalle,\npero un príncipe como yo no necesita...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\n¿Qué tal la cena esa que dijiste?\nAsí podríamos conocernos mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\n¿Quiere cenar... conmigo?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nSí...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\n¡No puedo decir que la idea no me tiente!\nNunca he cenado con un dragón, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nNo es un buen momento. ¡Lo siento!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\n¿Me estás rechazando? Oh...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\n¡No, no! Es solo que... la cena es el premio final.\nTodavía no me lo he ganado.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nQuiero seguir persiguiendo la zanahoria\nun poco más... Todavía debo esforzarme.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nEspero que, cuando llegue el momento, cumpla\ntus expectativas. Avísame cuando estés listo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nMuy bien. En ese caso, me vuelvo a mis labores.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nSeguir siendo el príncipe disipado\nque los Centinelas y mi pueblo necesitan.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nLa comida ha estado increíble, Fogado.\nY qué maravilla de restaurante.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nフォガート\nComer en compañía del Dragón Divino ha sido\ntal y como imaginaba. Valió la pena esperar.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nCon el caos que estamos viviendo, me alegra\nque hayamos podido organizar la velada.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nフォガート\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nフォガート\nHay otra cosa que también me gustaría mucho.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\n¿Sí? ¿Algún deseo secretísimo\nque te avergüenza pedirme, quizá?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nフォガート\nNo, no... Para nada.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nフォガート\nO quizá un poco, sí. Me gustaría... bueno...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nフォガート\nDivinidad, me gustaría que fuésemos aliados\nde ahora en adelante, ¿sabe? Para siempre.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\n¡¿Sí?! O sea...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nフォガート\nY no lo digo por decir; hablo muy en serio.\n¡Nunca me había esforzado tanto por una cena!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nNo sabía que sintieras eso. De verdad que no.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nフォガート\nNo tenía pensado contárselo;\nme lo iba a callar para siempre.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nPareces muy celoso de tus secretos.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\n¿Qué más ocultas? A lo mejor le vas pidiendo\na todo el mundo que sea tu aliado para siempre.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nフォガート\n¡Para nada! Soy muy selectivo en ese aspecto.\nUsted es \x0E\x0A\x00$\x10el único\x10la única a quien se lo he pedido.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\n¡Ja, ja! Era broma.\nSolo te estaba tomando el pelo.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nSé que bajo esa fachada de sinvergüenza\nse esconde una persona íntegra y cumplidora.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nPor eso, quiero entregarte esto.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nフォガート\n¿El Anillo del Pacto? Pero, Divinidad,\neso significa que...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nQue te concedo ese deseo secretísimo tuyo.\nQuiero que seamos aliados para siempre.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nSupongo que yo también soy reservad\x0E\x0A\x00\x08\x02o\x02a, porque\nllevaba un tiempo dándole vueltas al asunto.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nフォガート\n¿En serio? Es un gran honor... ¡Qué alegría!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nY quiero que sepas que me encanta el Fogado\nreal. Conmigo puedes mostrarte como eres.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nフォガート\nGracias, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nフォガート\nTe prometo que este sinvergüenza será el aliado\nmás íntegro y genuino del mundo.\x0E\x04\x00\x00
