MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\n¡Louis! ¿Ya me estabas espiando otra vez?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nPodríamos mostrarnos mutuamente\naquellas estampas que nos llamen la atención.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nSuena divertido. ¡Me apunto!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nFíjate, Louis. ¿No te parece adorable\nesa parejita almorzando?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nMira cómo ella le da de comer con la mano\ny él le devuelve el gesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nQué tierno... Parecen un príncipe\ny una princesa sacados de un cuento.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nQué hermoso... Imagino cómo serán sus vidas,\ncómo se habrán conocido y cosas así.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nMe agrada cambiar de aires de vez en cuando\ny observar escenas de tu gusto.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nPues tú dirás que te agrada,\npero no es que se te vea muy interesado.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nDisculpa, pero... me da la impresión\nde que falta algo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nNo lo sé, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nSospecho que lo que falta... eres tú.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\n¿Yo? ¿Y eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nTodo el mundo te adora, Chloé.\nSiempre estás rodeada de amigas.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nY la cercanía con la que las tratas...\nNo hay cosa igual.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nSiento tanta dicha al contemplar esa imagen\nque me la cincelaría en la mente si pudiera.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nSin tu presencia, cualquier estampa\ncarece de esplendor, por lo visto.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nViniendo de ti, me lo tomaré como un cumplido,\nde modo que... gracias, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nPero yo intentaría no hablarle\nde esto a cualquiera.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nYo comprendo el gozo que te produce\nese pasatiempo, pero otra gente...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nQuizá no todo el mundo tenga paciencia\npara entender tus motivos.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nLo tendré en cuenta.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nCreo que mejor nos marchamos.\nLos tortolitos nos están mirando.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nSí, será mejor que nos retiremos.\n¿Buscamos otra escena para contemplar?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x06\x04ルイ\n¿Salimos en busca de nuevas escenas\npara contemplar, Chloé?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nClaro, Louis. Ojalá demos con alguna\nque valga la pena.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nPor cierto, esto es para ti, si te gusta.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\n¿Un trozo de... pescado seco?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nJamás había visto ninguno con estos colores.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nAzul, verde, amarillo...\nParece mentira que sea comestible, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nTengo entendido que es un producto escaso\ny que no se encuentra fácilmente en el mercado.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nEres aficionada a la cocina callejera, ¿no?\nAcéptalo para cuando te asalte el hambre.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nGracias, Louis. Tiene muy buena pinta.\nMe encanta probar cosas nuevas.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nAunque no recuerdo haberte mencionado nunca\nmi afición por la comida callejera.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nChloé, he pasado tanto tiempo observándote\nque a estas alturas soy un experto en la materia.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nEres todo un caso, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nPero, bueno, mira quién habla...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nTe he traído unas pasas. Espero que te gusten.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nMuchas gracias, Chloé. Me encantan las pasas.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nYa lo sé. Yo también te he estado observando.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\n¿Que me has estado observando?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nComo tú a mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nEstés con quien estés, siempre te imagino\nen un cuento de hadas.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nDonde las dan las toman, por lo que veo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クロエ\nParece que estamos bien informados\nel uno del otro. ¡Qué forma de conocernos!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ルイ\n¿Sí, verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nPuede parecer extraño que haya conocido\ntus gustos observando en vez de preguntando.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クロエ\nNo lo creo. Como a ambos nos gusta\nobservar a la gente, para mí tiene sentido.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ルイ\nTienes razón.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06クロエ\nBueno, ya que vamos bien provistos\nde comida, ¿vamos allá?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nCon mucho gusto. Presiento que hoy va a ser\notro día maravilloso, amiga mía.\x0E\x04\x00\x00
