MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nZelkov, ¿me estás diciendo que el arte\nte parece más importante que nuestra amistad?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\n¡No tengo más compañero que tú!\nDebemos pasar más tiempo juntos...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nAjá...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nEstá tan enfrascado que ni contesta.\nMe ignora por completo. Qué solo me siento...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\n¡Zelkov, ha llegado la hora! ¡Prepárate!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nDebo declinar la *oferta*, una vez más.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\n¡Arg, estoy harto de la misma respuesta!\n¡No tienes derecho a rechazarme así!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nSi no cruzamos espadas ahora mismo...\n¡lucharé contra tu cuadro!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nPara tus tontas aficiones siempre tienes\ntiempo, pero ¡para tu amigo jamás!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\n¿¡Cómo vamos a establecer una amistad así!?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nTranquilízate. Entiendo tu *preocupación*,\npero destruir mi trabajo no solucionará nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nSolo me *obligaría* a no dirigirte la palabra\nnunca más. Así que depón el arma, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué te parece tan *divertido*?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\n¡La tensión! ¿No la notas? ¡Es como si fuéramos\nrivales destinados a enfrentarse!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\n¡Por fin empiezas a tomarme en serio!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nSi no quieres enfrentarte a mí como un amigo,\n¡lo harás como un oponente!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nYa *basta*.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\n¿Te rindes tan fácilmente?\nSe ve que valoras poco tus obras artísticas...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nHe visto tu mirada, y carece de instinto asesino.\nSolo eres un *niño* que busca atención.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\n¿¡Un n-niño!? ¡Cómo osas...!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nLárgate. Es una advertencia *seria*.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06カゲツ\nGrrr. Veo que da igual lo que te diga...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¡Zelkov! Llegó la hora...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nde que deje de retarte. Ya no tiene\nla más mínima importancia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nTe noto bastante *disgustado*.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nEs que... sé que no te caigo bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Que no me *caes bien*?\n¿A qué viene eso?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nPor favor. Es obvio que tanto a ti como\na lady Ivy les importo bien poco.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nY eso me entristece.\nYo... quería que fuéramos amigos.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n¿*Amigos*? Arg, no digas estupideces.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nIba a esperar hasta que la princesa Ivy\nestuviese presente para *revelártelo*, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMira. *Esto* es lo que he estado pintando.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\n¿Qué es?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMi obra *terminada*. Aparecemos nosotros tres:\ntú, la princesa Ivy y este servidor.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nMe has incluido... ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nLa princesa Ivy quería regalártelo\npara *celebrarlo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\n¿Celebrar qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEl día en que ella y yo te *conocimos*.\n¿Lo habías olvidado?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\n*Hoy* es el aniversario.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nViniste al castillo de Elusia con la idea\nde batirte en *duelos* más desafiantes.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nEsa búsqueda de *rivales* de altura\nte llevó a abandonar tu hogar.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nSí, derroté a cuantos guardias del castillo\nintentaron detenerme... hasta que apareciste tú.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nAquella fue mi primera derrota. Me machacaste.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nPero tu talento *impresionó* al rey Hyacinth...\nTanto, que te puso al servicio de la princesa Ivy.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nSí. Recuerdo bien la cara\nque pusieron ambos.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nEstaban que se trepaban por las paredes\ndel enojo.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nAcababas de *irrumpir* a la fuerza en el castillo\npor razones que solo podíamos aventurar...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nMmm... Sí, entiendo que no les causara\nbuena impresión. Lamento lo ocurrido.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nMi indignación era considerable,\npero no te guardo *rencor*.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nLa princesa Ivy también te ha perdonado ya.\nPor eso, ahora *celebra* el día que te conoció.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nPara ella eres muy importante.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06カゲツ\nZelkov... Gracias...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nNo estarás...*llorando*, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ゼルコバ\nNo importa. Ahora mismo iba a buscar\na la princesa Ivy. ¿Quieres *acompañarme*?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06カゲツ\nMejor los espero aquí. No quiero que me vea así.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nNo tienes de qué *preocuparte*.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nEs más, seguro que a la princesa Ivy\nle *agradaría* ver esta otra faceta tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x08\x06カゲツ\n¿De veras? ¿Significa eso que me aceptan\ncomo soy?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nVamos allá, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06カゲツ\n¡Mi corazón rebosa de amor por ti\ny la princesa Ivy! ¡Los quiero para siempre!\x0E\x04\x00\x00
