MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nQué extraño... Apenas hemos luchado juntos\ny, aun así, siento que nos entendemos bien.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06クロム\nLo importante es entrenar a diario y llevar\nuna alimentación sana. Y no rendirse jamás.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06クロム\nPerseverar sean cuales sean las circunstancias;\npelear por lo que amas. De ahí brota la fuerza.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nEres el mejor. ¡Qué buen consejo!\nMe haré más fuerte para proteger a mis amigos.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nImagino que conoces bien los entresijos\nde gobernar. ¿Tienes algún consejo útil?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06クロム\nNo sé si soy el más indicado para responder,\npero trato de empatizar con el prójimo.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Qué musculatura espectacular! Yo debería\nentrenar más duro. ¡Mañana empiezo temprano!\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06クロム\n¿Temprano, dices? Admiro esa motivación.\nQuizá debería seguir tu ejemplo.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVeo que hoy también sales a correr al alba.\nYo no tengo tu capacidad de sacrificio.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo es ningún sacrificio; me encanta entrenar.\nNingún firenés me gana en entusiasmo.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06クロム\n¿Eso crees? Pues has encontrado la horma\nde tu zapato: soy un hacha destrozando cosas.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nY... ¿eso es motivo de orgullo?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\n¡Es un honor combatir junto a ti, Emblema\nde los Lazos! Me mantendré siempre alerta.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06クロム\nAgradezco el entusiasmo, pero puedes aparcar\nlos formalismos. Somos amigos, ¿no?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nTe agradezco enormemente que me ayudaras\na orientarme cuando me perdí el otro día.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06クロム\nEn su día lideraba la milicia de los Custodios.\nTengo la capacidad innata de guiar a los demás.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\n¿Naciste con esa fortaleza o la desarrollaste\na base de entrenamiento?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nSerá de trabajar como guarda real.\nPuedo blandir esta hacha sin despeinarme.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06クロム\nUno de mis custodios era letal con el hacha...\ncuando no la dejaba olvidada por ahí.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\n¿Y luchaba desarmado? ¡Qué horror!\nSi sigue vivo, dile que me gustaría conocerlo.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nOye, Chrom, no sé qué hacer... Se me ha ido\nla mano entrenando y he derruido una pared.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06クロム\nPor mi propia experiencia, creo que le debes\nuna disculpa a alguien.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nTe veo desanimada, Etie. ¿Va todo bien?\nSi necesitas desahogarte, soy todo oídos.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nLo que necesito es descargarme tras el consejo\nde guerra. ¡Corramos cien vueltas y te cuento!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nQué temprano te has levantado hoy.\nHasta el príncipe Alfred sigue acostado.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06クロム\nNo me podía dormir y me puse a entrenar,\na ver si me agotaba. ¿Tú qué haces despierta?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nQuería salir a correr bajo el cielo estrellado,\npor variar. ¿Me acompañas?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06クロム\nMe parece una magnífica idea. Ve tú delante.\nSeguro que caigo rendido después de esto.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nHas sobresalido en el último combate,\nCéline. Descansa bien para el próximo.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nGracias. Tu asistencia ha sido determinante.\nNo ejerzas sobresfuerzos tú tampoco.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\n¿De dónde viene ese aroma tan agradable\ny delicado? Me reconforta mucho.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nEs una variedad de té negro autóctona\nde Firene. Se llama Ylisse, como tu tierra.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMi meta es volverme más fuerte para proteger\nmi reino. Haré lo que esté en mis manos.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06クロム\nLo mismo digo. Y, dado que perseguimos\nun objetivo común, será un placer ayudarte.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nSi la guerra concluye algún día, propongo\ncelebrarlo con una merienda distendida.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06クロム\nPues trae aquel té de la otra vez. Así podremos\ndebatir sobre el futuro disfrutando de su aroma.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nRobin y tú comparten brazalete, ¿cierto?\nHa de ser grato el estar siempre juntos.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06クロム\nA Robin y a mí nos unen lazos muy sólidos.\nEs lógico que sirvamos juntos como Emblemas.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nRobin y tú cuentan como un Emblema,\npero apenas se les ve juntos en el mismo lugar.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06クロム\nNo te aflijas por eso. Me ocuparé\nde que coincidamos más a menudo.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nMe han dicho que únicamente tienes hermanas.\nYo, por mi parte, crecí rodeado de varones.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06クロム\nEstás en lo cierto; a veces me gustaría\nsaber qué se siente al tener un hermano.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nPodríamos buscarte uno postizo. Seguro que\nalguno de nuestros aliados encajaría en el papel.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06クロム\nSuena divertido. ¿Te vas a presentar\na las pruebas de selección?\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nRobin y tú forman un dúo fantástico.\n¡Parece salido de algún cuento de hadas!\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06クロム\nAh, qué amable. Gracias por el cumplido.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\n¿Qué comes, Chloé? Huele bien,\npero tiene un aspecto... digamos...\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nEs un sándwich de manteca, tripas y sangre\nde vaca. ¡Está delicioso y sustancioso!\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nMira lo que he comprado en el mercado:\n¡un batido de huevos de pescado y pan\nde sangre aviar!\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロム\nCaray, qué... cosas. Me recuerda a los platillos\nque una vez quiso preparar una amiga mía.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nEstá todo tan rico que no hay quien se resista.\nSi quieres probar algo, te doy un poco.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロム\nSuelo quejarme por mi incapacidad para comer,\npero hoy doy gracias por ser un Emblema.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nComo pariente directo del Rey Heroico Marth,\nserás un digno oponente. Batámonos en duelo.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06クロム\nDe acuerdo. Demuéstrame de qué es capaz\nel príncipe heredero de un reino tan poderoso.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAunque soy el heredero al trono, en ocasiones\nme invade la inseguridad. ¿Te ocurría lo mismo?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06クロム\nEl dolor de perder a mi hermana mayor eclipsó\nel agobio propio de mi cargo, pero te entiendo.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSiempre rememoras el pasado con una sonrisa.\n¿No te sentías preso de tus obligaciones reales?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06クロム\nEn efecto, hasta que empecé a fraternizar\ncon los Custodios. Aquello me abrió los ojos.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06クロム\nLa libertad es una cuestión mental. Si te asaltan\nlas dudas, mira las cosas desde otro ángulo.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nParece una estrategia interesante.\nQuizá tengas razón.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nSueño con llegar a ser un caballero valeroso,\n¡una leyenda! ¡Es un placer colaborar contigo!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06クロム\nMe recuerdas a mi sobrino.\nSi trabajamos juntos, tu sueño se hará realidad.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nMe impresionan tus dotes para el combate.\n¿Dónde aprendiste esas técnicas?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nEntrenaba diez horas diarias en mi granja\nde alpacas para convertirme en caballero.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nEstoy en racha desde que me elogiaste.\nYa no tardaré en ser un héroe de leyenda.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nPese a mi origen plebeyo, el príncipe Diamant\ny tú me han enseñado todo lo necesario.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06クロム\nTus hazañas son dignas de admiración.\nEstás a la altura de los más veteranos.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06クロム\nCuenta con mi apoyo para mantener\nesa motivación hasta entrar en la historia.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nEl trabajo de escolta que tenías parece similar\nal que yo ejercía con la tropa de voluntarios.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nComparada con los Custodios, me queda mucho\npor aprender. Lo hacía para mantenerme activa.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n¿Te importaría contarme algo de tu mundo?\nBusco inspiración para mi próxima novela.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06クロム\nPuedo hablarte de la anterior Venerable,\nque, además, era una joya de hermana mayor.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nTengo entendido que posees un poder inmenso\nque te permite pulverizar cualquier muro.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06クロム\nBueno, no lo hago adrede. Es solo que, a veces,\nacabo destruyendo alguno cuando entreno.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nEl resultado es lo que cuenta.\n¿Me ayudarías a extraer minerales?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06クロム\nCon mucho gusto. Vamos a hablar con Robin;\nél nos dirá cómo obtener un mejor rendimiento.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nPese a tu talento, te muestras demasiado servil.\n¿Ganarías confianza en ti mismo si te alabara?\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\n¡¿Qué?! Al contrario, ¡me sentiría abrumado!\nCon la intención es más que suficiente.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nスタルーク\nLos dos demuestran tanto talento y seguridad...\nLamento que les haya tocado conmigo.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x08\x06クロム\nRobin y tú cuentan con un sentido táctico\ndel que yo carezco. Cada uno tiene su papel.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nスタルーク\nTe agradezco los ánimos que me infundes.\nAhí queda constancia de lo distintos que somos.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06クロム\nTu arrojo te pone a la altura de los demás,\npor no hablar de tu capacidad de observación.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x08\x06クロム\nTales cualidades te sirven para proteger a quien\nte importa, ¿no? En ese sentido, nos parecemos.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\n¡Ya me estás elogiando otra vez! Haré lo posible\npor evitar que tus palabras me avergüencen.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nHas estado soberbia en el campo de batalla.\nImagino que entrenas hasta la extenuación.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nMe he curtido luchando contra osos. Tú también\nte ves fuerte. ¿A cuántos osos has derrotado?\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06ラピス\nEntrenas con tanto brío que dejas el material\nen mal estado. He de fabricarlo más robusto.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06クロム\nSería un detalle. Quienes cuentan con mi poder\ndestrozan muros. Podrían ser más sólidos.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06ラピス\nTenías dos hermanas, ¿verdad? ¿Te hiciste\ntan fuerte para mantener a salvo a tu familia?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06クロム\nAsí es. Entrenaba y combatía para proteger\na mis hermanas y a mis amigos.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06ラピス\nLa familia y los amigos... Debería entrenar\nmás para poder proteger a todos, como tú.\x0E\x04\x00\x00
