MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDivinidad, he de decir que tiene unos ojos\nmuy evocadores. Este parece un tomatito.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nEspero ver cómo lo consigues.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nUn chef debe estar siempre preparado\npara encontrar inspiración allá adonde vaya.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nMmm... ¿Qué es ese olor?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nYo no huelo nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nEs usted. Exhala un aroma desconocido\npara mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\n¡Ah, eso! Es que me he manchado la ropa\ncon salsa en el almuerzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nEra una manchita insignificante. Pensé que\nnadie lo notaría. Lo siento, voy a cambiarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nNo, no. Permita que estudie ese curioso olor.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\n¡Oh!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nDebe de ser un platillo que no conozco.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\n¿Podría darle un lametón?\nNo conozco el platillo que ha degustado.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\n¿Cómo? ¿Probar la salsa?\n¿En mi... ropa?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n¡Ya lo tengo! ¿Por qué no hablamos\ncon la persona encargada de cocinar hoy?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nNo puedo esperar tanto. Debo satisfacer\nmi curiosidad culinaria de inmediato.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nPero... ¿en mi ropa?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nSolo pienso en fogones, ingredientes\ny sabores desde que tengo uso de razón.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nDesde entonces, me esfuerzo por ampliar mis\nconocimientos culinarios. ¿Puede ayudarme?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nSé que dije que admiro tu dedicación\ncomo chef, pero ¡esto es demasiado!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nTu búsqueda de inspiración es admirable,\npero... no todo vale.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nAdemás, para dominar la cocina, no solo\nse deben conocer todos los sabores.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nNo \x0E\x0A\x00\x0C\x04lo\x04la entiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nYa lo descubrirás. Ahora... voy a cambiarme.\nCon tu permiso...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\n¿Qué habrá querido decir con eso\nsu Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDragón Divino, le debo una disculpa\npor ser tan desconsiderado el otro día.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nYa pasó. Y ya me lavé la ropa,\nasí que todo está bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nSí, pero eso que dijo... que cocinar\nno consiste solo en conocer los sabores.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nVolví de inmediato a la cocina\npara intentar comprender sus palabras...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\n¡¿De verdad?!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nSí... Después de nuestra conversación,\nme encerré en la cocina y no volví a salir.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nTrabajé de sol a sol intentando crear\nun platillo inspirado en esa mancha de salsa.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nCaramba. Todo eso por haberme\nmanchado la ropa...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nMe esforcé en vano... pero, cuando estaba\nal borde de la desesperación, tuve una idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\n"¿Y si olvido todo esto y me enfoco en preparar\nun platillo que agrade a su Divinidad?"\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nAsí que eso hice. Y conseguí crear un sabor\nque superó todas mis expectativas.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nEse es el secreto para cocinar bien, ¿verdad?\nHacerlo para alguien por quien se siente afecto.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\n¡Justo! No podría estar más de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nSe trata de sentir afecto, no de conocer\ntodos los sabores del mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nDivinidad, siento \x0E\x0A\x00 \x0Ehaberlo\x0Ehaberla incomodado.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nQuiero que sepas que sigo apoyándote,\naunque tuve que ponerte un límite.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nNo tengo dudas de que un día serás\nel mejor chef del mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nPor cierto, he traído el platillo que elaboré.\nQuizá le interese probarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\n¡Claro! Con mucho gusto.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nDivinidad, he creado un platillo\ncompletamente nuevo.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x06\x04ボネ\nSi no le importa, le ruego que lo pruebe.\nMe gustaría conocer su opinión.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nTiene un aspecto absolutamente delicioso.\nQué colores tan bonitos.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x06\x04ボネ\nLos tomates y los arándanos que lleva\nson un guiño a sus hermosos ojos.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x06\x04ボネ\nBuen provecho.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nEsto está... ¡sublime!\n¡Lo mejor que he probado jamás!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x06\x04ボネ\nMe alegra que lo diga. Quería elaborar\nun platillo especial expresamente para usted.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04ボネ\nCuando \x0E\x0A\x00\x0C\x04lo\x04la tengo en mente, logro crear platillos\nsobresalientes. Querría hacerlo más a menudo.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x06\x04ボネ\nEs decir, querría cocinar pensando en usted...\npara siempre, si le parece bien.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\n¿Quieres decir que...?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x06\x04ボネ\nQue me gustaría ser su compañero,\nDivinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x06\x04ボネ\nSiempre y cuando el platillo que le he preparado\nhaya sido de su agrado, naturalmente.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x06\x04ボネ\nPero, si le incomoda, recordaré con cariño\nesta receta y retomaré mis labores en la cocina.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nAh... No.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nNi hablar. Quédate a mi lado. Me gustaría\nque me preparases más platillos increíbles.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nEs más, Bunet, no tienes por qué cocinar\npara mí; me basta con gozar de tu compañía.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nToma. Te entrego el Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04ボネ\n¡Gracias! Qué anillo tan hermoso...\nIgual que usted.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDejando a un lado la gastronomía,\ntenemos muchas cosas que contarnos.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x06\x04ボネ\nNada me gustaría más, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x06\x04ボネ\nQué momento tan dulce... ¡Quiero seguir\nsaboreando la vida a su lado!\x0E\x04\x00\x00
